File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\remito.php,seleccionar(),18,18,17,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\remito.php,seleccionar_transporte( id ),6,5,5,0,1,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\remito.php,seleccionar_camionero( id ),7,6,6,0,1,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\remito.php,enter( funcion ),4,4,3,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\remito.php,preview(),9,9,8,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_81.php,"setMultipleValues_fecha(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_81.php,"setMultipleValues_fechahasta(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_82.php,bajar_cliente( $cod_cliente ),24,23,16,3,1,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_83.php,"setMultipleValues_fecha(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_83.php,"setMultipleValues_fechahasta(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_84.php,bajar_proveedor( $cod_proveedor ),23,22,15,3,1,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_87.php,"setMultipleValues_fecha(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_87.php,"setMultipleValues_fechahasta(y,m,d)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tipos_transporte.php,"mover_elemento( origen, destino )",9,9,7,2,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tipos_transporte.php,enviar(),13,13,11,4,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\actions.php,switch($action),30,30,24,6,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\logs.php,elseif( $action == 'frmVer' ),42,42,4,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\secciones.php,"act_posicion( id, posic, seccion, sector )",5,5,5,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\secciones.php,bajar_secciones( id_padre ),17,17,10,1,0,0,0,0,
