File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sql\framework.sql,185,168,0,0,14,0,3,5,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sql\_demo_sistdist.sql,816,468,0,0,141,0,207,332,15,30
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles\calendar.css,97,96,49,0,1,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles\estilos.css,143,116,102,0,9,0,18,128,1,4
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles\xmenu.css,159,107,90,0,20,0,32,170,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles\_notes\dwsync.xml,6,6,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\actions.php,227,223,57,21,4,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\cabecera.inc.php,5,5,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\configuraciones.php,267,262,65,22,5,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\datos_personales.php,214,212,76,17,2,1,0,5,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\grupos.php,605,597,173,50,6,2,2,10,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\logs.php,235,233,23,11,2,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\principal.php,101,98,24,7,2,0,1,1,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\secciones.php,575,564,198,54,11,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\usuarios.php,525,517,143,48,8,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\_notes\dwsync.xml,12,12,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images\xmenu\_notes\dwsync.xml,6,6,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images\_notes\dwsync.xml,46,46,0,0,0,0,0,0,0,0
